city;long_desc;country
 Media, Pennsylvania ; Media, PA 19063, USA ; USA
 San Pietroburgo, Russia ; St Petersburg, Russia ; Russia
 Newport Beach, California ; Newport Beach, CA, USA ; USA
 Graz, Austria ; Graz, Austria ; Austria
 Bozeman, Montana ; Bozeman, MT, USA ; USA
 Birmingham, Regno Unito ; Birmingham, UK ; UK
 Losanna, Svizzera ; Lausanne, Switzerland ; Switzerland
 Colonia, Germania ; Cologne, Germany ; Germany
 Zagabria, Croazia ; Zagreb, Croatia ; Croatia
 Sheffield, Regno Unito ; Sheffield, UK ; UK
 Kaarst, Germania ; 41564 Kaarst, Germany ; Germany
 Copenaghen, ; Copenhagen, Denmark ; Denmark
 Rueil-Malmaison, Francia ; 92500 Rueil-Malmaison, France ; France
 Tasmania, Australia ; Tasmania, Australia ; Australia
 Melbourne, Australia ; Melbourne VIC, Australia ; Australia
 Toronto, Canada ; Toronto, ON, Canada ; Canada
 Mont-de-Marsan, Francia ; 40000 Mont-de-Marsan, France ; France
 Oberdreis, Germania ; 57639 Oberdreis, Germany ; Germany
 Vancouver, Canada ; Vancouver, BC, Canada ; Canada
 Detroit, Michigan ; Detroit, MI, USA ; USA
 Haarlem, Paesi Bassi ; Haarlem, Netherlands ; Netherlands
 Dortmund, Germania ; Dortmund, Germany ; Germany
 Mougins, Francia ; 06250 Mougins, France ; France
 Sydney, Australia ; Sydney NSW, Australia ; Australia
 Berlino, Germania ; Berlin, Germany ; Germany
 Berkeley, California ; Berkeley, CA, USA ; USA
 Montpellier, Francia ; Montpellier, France ; France
 Collingwood, Canada ; Collingwood, ON, Canada ; Canada
 Edmonton, Canada ; Edmonton, AB, Canada ; Canada
 Creswell, Oregon ; Creswell, OR 97426, USA ; USA
 Aix-en-Provence, Francia ; Aix-en-Provence, France ; France
 Oakland, California ; Oakland, CA, USA ; USA
 Bath, Canada ; Odessa, ON K0H, Canada ; Canada
 Galway, Irlanda ; Galway, Ireland ; Ireland
 Verona, Italia ; Verona, VR, Italy ; Italy
 Adelaide, Australia ; Adelaide SA, Australia ; Australia
 Tunisi, Tunisia ; Tunis, Tunisia ; Tunisia
 Allen, Texas ; Allen, TX, USA ; USA
 Boston, Massachusetts ; Boston, MA, USA ; USA
 Cambridge, Massachusetts ; Cambridge, MA, USA ; USA
 Lahaina, Hawaii ; Lahaina, HI, USA ; USA
 Shenyang, Cina ; Shenyang, Liaoning, China ; China
 Wallagoot, Australia ; Wallagoot NSW 2550, Australia ; Australia
 Wiesbaden, Germania ; Wiesbaden, Germany ; Germany
 Sudbury, Canada ; Sudbury, ON, Canada ; Canada
 Stanford, California ; Stanford, CA, USA ; USA
 Cincinnati, Ohio ; Cincinnati, OH, USA ; USA
 Charlotte, North Carolina ; Charlotte, NC, USA ; USA
 Milano, Italia ; Milan, Italy ; Italy
 Dublin, California ; Dublin, CA 94568, USA ; USA
 San Diego, California ; San Diego, CA, USA ; USA
 Montreal, Canada ; Montreal, QC, Canada ; Canada
 Poggibonsi, Italia ; 53036 Poggibonsi, Province of Siena, Italy ; Italy
 Catalogna, Spagna ; Catalonia, Spain ; Spain
 New York, Stati Uniti ; New York, NY, USA ; USA
 Doha, Qatar ; Doha, Qatar ; Qatar
 Tel Aviv, Israele ; Tel Aviv-Yafo, Israel ; Israel
 San Paolo, Brasile ; S√£o Paulo, State of S√£o Paulo, Brazil ; Brazil
 Torino, Italia ; Turin, Metropolitan City of Turin, Italy ; Italy
 Leeds, Regno Unito ; Leeds, UK ; UK
 Taiwan ; Taiwan ; Taiwan
 Vitoria, Spagna ; Vitoria-Gasteiz, √Ålava, Spain ; Spain
 Newport News, Virginia ; Newport News, VA, USA ; USA
 Kiev, Ucraina ; Kiev, Ukraine ; Ukraine
 Ferndale, Michigan ; Ferndale, MI 48220, USA ; USA
 Tokyo, Giappone ; Tokyo, Japan ; Japan
 West Jordan, Utah ; West Jordan, UT, USA ; USA
 Rombas, Francia ; Rombas, France ; France
 San Antonio, Texas ; San Antonio, TX, USA ; USA
 Houston, Texas ; Houston, TX, USA ; USA
 Francoforte, Germania ; Frankfurt, Germany ; Germany
 Rotterdam, Paesi Bassi ; Rotterdam, Netherlands ; Netherlands
 Marsiglia, Francia ; Marseille, France ; France
 Santa Barbara, California ; Santa Barbara, CA, USA ; USA
 Edimburgo, Regno Unito ; Edinburgh, UK ; UK
 Arrecife, Spagna ; Arrecife, Las Palmas, Spain ; Spain
 Carlton, Australia ; Carlton VIC 3053, Australia ; Australia
 Brisbane, Australia ; Brisbane QLD, Australia ; Australia
 Brighton, Regno Unito ; Brighton, UK ; UK
 Framingham, Massachusetts ; Framingham, MA, USA ; USA
 Troyes, Francia ; Troyes, France ; France
 Massachusetts, Stati Uniti ; Massachusetts, USA ; USA
 Montclair, New Jersey ; Montclair, NJ, USA ; USA
 Israele ; Israel ; Israel
 Richmond, Canada ; Richmond, BC, Canada ; Canada
 Herne, Germania ; Herne, Germany ; Germany
 Trent, Italia ; Trento, Italy ; Italy
 Florida, Stati Uniti ; Florida, USA ; USA
 Varsavia, Polonia ; Warsaw, Poland ; Poland
 Calgary, Canada ; Calgary, AB, Canada ; Canada
 Bogot‡, Colombia ; Bogot√°, Bogota, Colombia ; Colombia
 Wellington, Nuova Zelanda ; Wellington, New Zealand ; New Zealand
 Honduras ; Honduras ; Honduras
 Munster, Germania ; M√ºnster, Germany ; Germany
 Bologna, Italia ; Bologna, Italy ; Italy
 Podgorica, Montenegro ; Podgorica, Montenegro ; Montenegro
 Tolosa, Francia ; Toulouse, France ; France
 Ithaca, New York ; Ithaca, NY, USA ; USA
 Madrid, Spagna ; Madrid, Spain ; Spain
 Atlanta, Georgia ; Atlanta, GA, USA ; USA
 Lisburn, Regno Unito ; Lisburn, UK ; UK
 Vienna, Austria ; Vienna, Austria ; Austria
 Ghent, Belgio ; Ghent, Belgium ; Belgium
 Manchester, Regno Unito ; Manchester, UK ; UK
 Sunnyvale, California ; Sunnyvale, CA, USA ; USA
 Firenze, Italia ; Florence, Italy ; Italy
 Fair Oaks, California ; Fair Oaks, CA, USA ; USA
 Salerno, Italia ; Salerno, Province of Salerno, Italy ; Italy
 Winterthur, Svizzera ; Winterthur, Switzerland ; Switzerland
 Minsk, Bielorussia ; Minsk, Belarus ; Belarus
 New Orleans, Louisiana ; New Orleans, LA, USA ; USA
 Phoenix, Arizona ; Phoenix, AZ, USA ; USA
 Mumbai, India ; Mumbai, Maharashtra, India ; India
 Asheville, North Carolina ; Asheville, NC, USA ; USA
 Palo Alto, California ; Palo Alto, CA, USA ; USA
 Falmouth, Massachusetts ; Falmouth, MA, USA ; USA
 Akron, Ohio ; Akron, OH, USA ; USA
 Moscow, Idaho ; Moscow, ID, USA ; USA
 Thirroul, Australia ; Thirroul NSW 2515, Australia ; Australia
 Pittsburgh, Pennsylvania ; Pittsburgh, PA, USA ; USA
 Flagstaff, Arizona ; Flagstaff, AZ, USA ; USA
 Lismore, Australia ; Lismore NSW 2480, Australia ; Australia
 Pijnacker, Paesi Bassi ; Pijnacker, Netherlands ; Netherlands
 Isola di Bowen, Canada ; Bowen Island, BC, Canada ; Canada
 Inverness, Regno Unito ; Inverness, UK ; UK
 Stati Uniti ; United States ; United States
 Monaco, Germania ; Munich, Germany ; Germany
 San Jose, California ; San Jose, CA, USA ; USA
 Le Cannet, Francia ; 06110 Le Cannet, France ; France
 Minneapolis, Minnesota ; Minneapolis, MN, USA ; USA
 Miami, Florida ; Miami, FL, USA ; USA
 Venezia, Florida ; Venice, FL, USA ; USA
 Perugia, Italia ; Perugia, Italy ; Italy
 Catonsville, Maryland ; Catonsville, MD, USA ; USA
 Sarasota, Florida ; Sarasota, FL, USA ; USA
 Groninga, Paesi Bassi ; Groningen, Netherlands ; Netherlands
 Portland, Oregon ; Portland, OR, USA ; USA
 Boise, Idaho ; Boise, ID, USA ; USA
 Lisbona, Portogallo ; Lisbon, Portugal ; Portugal
 Hannover, Germania ; Hanover, Germany ; Germany
 BrasÌlia, Brasile ; Brasilia - Federal District, Brazil ; Brazil
 Plantersville, Mississippi ; Plantersville, MS, USA ; USA
 Fiumicino, Italia ; 00054 Fiumicino, Metropolitan City of Rome, Italy ; Italy
 Kyoto, Giappone ; Kyoto, Kyoto Prefecture, Japan ; Japan
 Lucerna, Svizzera ; Lucerne, Switzerland ; Switzerland
 Dublino, Irlanda ; Dublin, Ireland ; Ireland
 Anchorage, Alaska ; Anchorage, AK, USA ; USA
 Oslo, Norvegia ; Oslo, Norway ; Norway
 Utrecht, Paesi Bassi ; Utrecht, Netherlands ; Netherlands
 Boulogne-Billancourt, Francia ; Boulogne-Billancourt, France ; France
 Philadelphia, Pennsylvania ; Philadelphia, PA, USA ; USA
 Ensenada, Messico ; Ensenada, Baja California, Mexico ; Mexico
 Madison, Wisconsin ; Madison, WI, USA ; USA
 Kailua, Hawaii ; Kailua, HI, USA ; USA
 Long Ditton, Regno Unito ; Long Ditton, UK ; UK
 Commack, New York ; Commack, NY, USA ; USA
 Izmir, Turchia ; Izmir, ƒ∞zmir, Turkey ; Turkey
 Osasco, Brasile ; Osasco - State of S√£o Paulo, Brazil ; Brazil
 Kaunas, Lituania ; Kaunas, Lithuania ; Lithuania
 Auckland, Nuova Zelanda ; Auckland, New Zealand ; New Zealand
 Washington, Missouri ; Washington, MO, USA ; USA
 Utica, New York ; Utica, NY, USA ; USA
 North Carolina, Stati Uniti ; North Carolina, USA ; USA
 Queensland, Australia ; Queensland, Australia ; Australia
 Falmouth, Regno Unito ; Falmouth, UK ; UK
 Rheinfelden, Svizzera ; Rheinfelden, Switzerland ; Switzerland
 Derby, Regno Unito ; Derby, UK ; UK
 Milwaukie, Oregon ; Milwaukie, OR, USA ; USA
 Ramat Hasharon, Israele ; Ramat Hasharon, Israel ; Israel
 Limoges, Francia ; Limoges, France ; France
 Northampton, Massachusetts ; Northampton, MA, USA ; USA
 Mousseaux-sur-Seine, Francia ; 78270 Mousseaux-sur-Seine, France ; France
 Neuilly-sur-Seine, Francia ; Neuilly-sur-Seine, France ; France
 Wake Forest, North Carolina ; Wake Forest, NC 27587, USA ; USA
 Lilla, Francia ; Lille, France ; France
 Inghilterra, Regno Unito ; England, UK ; UK
 Mannheim, Germania ; Mannheim, Germany ; Germany
 Chapel Hill, North Carolina ; Chapel Hill, NC, USA ; USA
 Pisa, Italia ; Pisa, Province of Pisa, Italy ; Italy
 Neuchatel, Svizzera ; Neuch√¢tel, Switzerland ; Switzerland
 Dhaka, Bangladesh ; Dhaka, Bangladesh ; Bangladesh
 LeganÈs, Spagna ; Legan√©s, Madrid, Spain ; Spain
 Culver City, California ; Culver City, CA, USA ; USA
 Belgrado, Serbia ; Belgrade, Serbia ; Serbia
 Hamden, Connecticut ; Hamden, CT, USA ; USA
 Kent, Ohio ; Kent, OH, USA ; USA
 Montevideo, Uruguay ; Montevideo, Montevideo Department, Uruguay ; Uruguay
 Francia ; France ; France
 Richmond, California ; Richmond, CA, USA ; USA
 Haverhill, Massachusetts ; Haverhill, MA, USA ; USA
 East Perth, Australia ; East Perth WA 6004, Australia ; Australia
 Nevada City, California ; Nevada City, CA 95959, USA ; USA
 Lombardia, Italia ; Lombardy, Italy ; Italy
 Oregon, Stati Uniti ; Oregon, USA ; USA
 Citt‡ del Messico, Messico ; Mexico City, CDMX, Mexico ; Mexico
 Bainbridge Island, Washington ; Bainbridge Island, WA, USA ; USA
 Pozna, Polonia ; Pozna≈Ñ, Poland ; Poland
 GÈmenos, Francia ; G√©menos, France ; France
 Richland, Washington ; Richland, WA, USA ; USA
 Lilburn, Georgia ; Lilburn, GA 30047, USA ; USA
 Somerville, Massachusetts ; Somerville, MA, USA ; USA
 Randburg, Sudafrica ; Randburg, South Africa ; South Africa
 Greenland, New Hampshire ; Greenland, NH, USA ; USA
 Kuala Lumpur, Malesia ; Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia ; Malaysia
 Villedieu-les-PoÍles, Francia ; 50800 Villedieu-les-Po√™les, France ; France
 Manzanita, Oregon ; Manzanita, OR, USA ; USA
 Svezia ; Sweden ; Sweden
 Victoria, Australia ; Victoria, Australia ; Australia
 Whitehorse, Canada ; Whitehorse, YT, Canada ; Canada
 Offenbach, Germania ; Offenbach, Germany ; Germany
 Voronezh, Russia ; Voronezh, Voronezh Oblast, Russia ; Russia
 Leghorn, Italia ; Livorno, Province of Livorno, Italy ; Italy
 Malaga, Spagna ; M√°laga, Spain ; Spain
 West Vancouver, Canada ; West Vancouver, BC, Canada ; Canada
 Glasgow, Regno Unito ; Glasgow, UK ; UK
 L'Aia, Paesi Bassi ; The Hague, Netherlands ; Netherlands
 Makati, Filippine ; Makati, Metro Manila, Philippines ; Philippines
 Como, Italia ; 22100 Como, Province of Como, Italy ; Italy
 Takoma Park, Maryland ; Takoma Park, MD, USA ; USA
 Elmira, New York ; Elmira, NY, USA ; USA
 Istanbul, Turchia ; Istanbul, ƒ∞stanbul, Turkey ; Turkey
 Union, New Jersey ; Union, NJ, USA ; USA
 Pasadena, California ; Pasadena, CA, USA ; USA
 M¸hlheim am Main, Germania ; M√ºhlheim am Main, Germany ; Germany
 Gdynia, Polonia ; Gdynia, Poland ; Poland
 Hoboken, New Jersey ; Hoboken, NJ, USA ; USA
 Anversa, Belgio ; Antwerp, Belgium ; Belgium
 Morangis, Francia ; Morangis, France ; France
 Wilmington, Delaware ; Wilmington, DE, USA ; USA
 Oatlands, Australia ; Oatlands NSW 2117, Australia ; Australia
 Wildwood, Missouri ; Wildwood, MO, USA ; USA
 Ypsilanti, Michigan ; Ypsilanti, MI, USA ; USA
 Santa Monica, California ; Santa Monica, CA, USA ; USA
 Thorndale, Canada ; Thorndale, ON N0M, Canada ; Canada
 Indonesia ; Indonesia ; Indonesia
 Norman, Oklahoma ; Norman, OK, USA ; USA
 Baden, Canada ; Baden, ON, Canada ; Canada
 California, Stati Uniti ; California, USA ; USA
 Aberdeen, Regno Unito ; Aberdeen, UK ; UK
 Columbus, Ohio ; Columbus, OH, USA ; USA
 Bangor, Maine ; Bangor, ME 04401, USA ; USA
 Basilea, Svizzera ; Basel, Switzerland ; Switzerland
 Lys· nad Labem, Repubblica Ceca ; 289 22 Lys√° nad Labem, Czechia ; Czechia
 Cambridge, Regno Unito ; Cambridge, UK ; UK
 Brossard, Canada ; Brossard, QC, Canada ; Canada
 Sonderborg, ; 6400 S√∏nderborg, Denmark ; Denmark
 Lubecca, Germania ; L√ºbeck, Germany ; Germany
 Karlsruhe, Germania ; Karlsruhe, Germany ; Germany
 Maplewood, New Jersey ; Maplewood, NJ, USA ; USA
 Guerville, Francia ; Guerville, France ; France
 Salt Lake City, Utah ; Salt Lake City, UT, USA ; USA
 Lubiana, Slovenia ; Ljubljana, Slovenia ; Slovenia
 Boulder Creek, California ; Boulder Creek, CA 95006, USA ; USA
 LogroÒo, Spagna ; Logro√±o, La Rioja, Spain ; Spain
 Hook Norton, Regno Unito ; Hook Norton, Banbury OX15, UK ; UK
 Ann Arbor, Michigan ; Ann Arbor, MI, USA ; USA
 Lafayette, Louisiana ; Lafayette, LA, USA ; USA
 Kathmandu, Nepal ; Kathmandu 44600, Nepal ; Nepal
 Buffalo, New York ; Buffalo, NY, USA ; USA
 Giappone ; Japan ; Japan
 Key West, Florida ; Key West, FL 33040, USA ; USA
 Metz, Francia ; Metz, France ; France
 Gilbert, Arizona ; Gilbert, AZ, USA ; USA
 Santiago, Cile ; Santiago, Santiago Metropolitan Region, Chile ; Chile
 Oxford, Regno Unito ; Oxford, UK ; UK
 Paesi Bassi ; Netherlands ; Netherlands
 Baltimora, Maryland ; Baltimore, MD, USA ; USA
 Grand Rapids, Michigan ; Grand Rapids, MI, USA ; USA
 Bury Saint Edmunds, Regno Unito ; Bury St Edmunds, Bury Saint Edmunds, UK ; UK
 Irvine, California ; Irvine, CA, USA ; USA
 Lund, Svezia ; Lund, Sweden ; Sweden
 Sacramento, California ; Sacramento, CA, USA ; USA
 Kˆniz, Svizzera ; K√∂niz, Switzerland ; Switzerland
 Guerneville, California ; Guerneville, CA 95446, USA ; USA
 Arizona, Stati Uniti ; Arizona, USA ; USA
 Woodstock, Georgia ; Woodstock, GA, USA ; USA
 Royal Leamington Spa, Regno Unito ; Royal Leamington Spa, UK ; UK
 Drag¯r, ; 2791 Drag√∏r, Denmark ; Denmark
 D¸sseldorf, Germania ; D√ºsseldorf, Germany ; Germany
 Belfast, Regno Unito ; Belfast, UK ; UK
 UmeÂ, Svezia ; Ume√•, Sweden ; Sweden
 Ibiza, Spagna ; Ibiza, Balearic Islands, Spain ; Spain
 Newberg, Oregon ; Newberg, OR 97132, USA ; USA
 Oberlin, Ohio ; Oberlin, OH 44074, USA ; USA
 Londra, Canada ; London, ON, Canada ; Canada
 Denver, Colorado ; Denver, CO, USA ; USA
 Durham, North Carolina ; Durham, NC, USA ; USA
 Shanghai, Cina ; Shanghai, China ; China
 Middleton, Wisconsin ; Middleton, WI, USA ; USA
 Procida, Italia ; Procida, 80079 Procida, Metropolitan City of Naples, Italy ; Italy
 Aarhus, ; Aarhus, Denmark ; Denmark
 Regno Unito ; United Kingdom ; United Kingdom
 Long Beach, California ; Long Beach, CA, USA ; USA
 La Grande, Oregon ; La Grande, OR 97850, USA ; USA
 Batavia, New York ; Batavia, NY 14020, USA ; USA
 Spagna ; Spain ; Spain
 Dubai, Emirati Arabi Uniti ; Dubai - United Arab Emirates ; Dubai - United Arab Emirates
 Tarpon Springs, Florida ; Tarpon Springs, FL, USA ; USA
 Australia ; Australia ; Australia
 Martinez, California ; Martinez, CA 94553, USA ; USA
 Ontario, Canada ; Ontario, Canada ; Canada
 East Brunswick, New Jersey ; East Brunswick, NJ, USA ; USA
 Nashville, Tennessee ; Nashville, TN, USA ; USA
 Dusseldorf, Germania ; D√ºsseldorf, Germany ; Germany
 Northampton, Regno Unito ; Northampton, UK ; UK
 Annecy, Francia ; Annecy, France ; France
 Ridley Park, Pennsylvania ; Ridley Park, PA, USA ; USA
 Bilbao, Spagna ; Bilbao, Biscay, Spain ; Spain
 Œle-de-France, Francia ; √éle-de-France, France ; France
 Gorham, New Hampshire ; Gorham, NH 03581, USA ; USA
 Nuova Scozia, Canada ; Nova Scotia, Canada ; Canada
 Muswellbrook, Australia ; Muswellbrook NSW 2333, Australia ; Australia
 Raleigh, North Carolina ; Raleigh, NC, USA ; USA
 Saint-Maurice, Francia ; 94410 Saint-Maurice, France ; France
 Recife, Brasile ; Recife - State of Pernambuco, Brazil ; Brazil
 Boulder, Colorado ; Boulder, CO, USA ; USA
 Orlando, Florida ; Orlando, FL, USA ; USA
 Slyudyanka, Russia ; Slyudyanka, Irkutsk Oblast, Russia ; Russia
 Schelle, Belgio ; 2627 Schelle, Belgium ; Belgium
 Ivry-sur-Seine, Francia ; Ivry-sur-Seine, France ; France
 Rottweil, Germania ; Rottweil, Germany ; Germany
 Albany, California ; Albany, CA, USA ; USA
 Rio de Janeiro, Brasile ; Rio de Janeiro, State of Rio de Janeiro, Brazil ; Brazil
 New Haven, Connecticut ; New Haven, CT, USA ; USA
 Winnipeg, Canada ; Winnipeg, MB, Canada ; Canada
 Ames, Iowa ; Ames, IA, USA ; USA
 Ponte Cingoli, Italia ; 25050 Ponte Cingoli BS, Italy ; Italy
 Elda, Spagna ; Elda, Alicante, Spain ; Spain
 Reykjavik, Islanda ; Reykjav√≠k, Iceland ; Iceland
 Helsinki, Finlandia ; Helsinki, Finland ; Finland
 Port St Lucie, Florida ; Port St Lucie, FL, USA ; USA
 Kitchener, Canada ; Kitchener, ON, Canada ; Canada
 Halifax, Canada ; Halifax Regional Municipality, NS, Canada ; Canada
 Albuquerque, New Mexico ; Albuquerque, NM, USA ; USA
 New Territories, Hong-Kong ; New Territories, Hong Kong ; Hong Kong
 Riverhead, New York ; Riverhead, NY 11901, USA ; USA
 Cranberry Township, Pennsylvania ; Cranberry Twp, PA, USA ; USA
 Nocera Superiore, Italia ; 84015 Nocera Superiore SA, Italy ; Italy
 Sibu, Malesia ; Sibu, Sarawak, Malaysia ; Malaysia
 Charleston, South Carolina ; Charleston, SC, USA ; USA
 Marietta, Georgia ; Marietta, GA, USA ; USA
 Colmar, Francia ; Colmar, France ; France
 Huntington Beach, California ; Huntington Beach, CA, USA ; USA
 Elanora Heights, Australia ; Elanora Heights NSW 2101, Australia ; Australia
 Sudbury, Massachusetts ; Sudbury, MA, USA ; USA
 Carouge, Svizzera ; 1227 Carouge, Switzerland ; Switzerland
 Thunder Bay, Canada ; Thunder Bay, ON, Canada ; Canada
 Lima, Per˘ ; Lima, Peru ; Peru
 Beaufort, South Carolina ; Beaufort, SC, USA ; USA
 Modesto, California ; Modesto, CA, USA ; USA
 Territorio della Capitale Australiana, Australia ; Australian Capital Territory, Australia ; Australia
 Owings Mills, Maryland ; Owings Mills, MD, USA ; USA
 Buenos Aires, Argentina ; Buenos Aires, Argentina ; Argentina
 Magonza, Germania ; Mainz, Germany ; Germany
 Windsor, Canada ; Windsor, ON, Canada ; Canada
 Roann, Indiana ; Roann, IN 46974, USA ; USA
 Syracuse, New York ; Syracuse, NY, USA ; USA
 Appleton, Wisconsin ; Appleton, WI, USA ; USA
 Garoua, Camerun ; Garoua, Cameroon ; Cameroon
 Stoccolma, Svezia ; Stockholm, Sweden ; Sweden
 Medellin, Colombia ; Medellin, Antioquia, Colombia ; Colombia
 Malta ; Malta ; Malta
 Mountain View, California ; Mountain View, CA, USA ; USA
 Chester, Regno Unito ; Chester, UK ; UK
 Germania ; Germany ; Germany
 Praga, Repubblica Ceca ; Prague, Czechia ; Czechia
 Aptos, California ; Aptos, CA 95003, USA ; USA
 Gig Harbor, Washington ; Gig Harbor, WA, USA ; USA
 Genova, Italia ; Genoa, Italy ; Italy
 Pittsford, Vermont ; Pittsford, VT, USA ; USA
 Mar del Plata, Argentina ; Mar del Plata, Buenos Aires Province, Argentina ; Argentina
 Centreville, Virginia ; Centreville, VA, USA ; USA
 Modena, Italia ; Modena, Province of Modena, Italy ; Italy
 Budapest, Ungheria ; Budapest, Hungary ; Hungary
 North Hero, Vermont ; North Hero, VT 05474, USA ; USA
 Richmond Hill, Georgia ; Richmond Hill, GA 31324, USA ; USA
 Grapevine, Texas ; Grapevine, TX, USA ; USA
 Fairfax, Virginia ; Fairfax, VA, USA ; USA
 Santiago de Compostela, Spagna ; Santiago de Compostela, A Coru√±a, Spain ; Spain
 Talent, Oregon ; Talent, OR 97540, USA ; USA
 Glendale, California ; Glendale, CA, USA ; USA
 Granger, Indiana ; Granger, IN, USA ; USA
 Richmond, Virginia ; Richmond, VA, USA ; USA
 Merano, Italia ; Merano, Province of Bolzano - South Tyrol, Italy ; Italy
 Thalwil, Svizzera ; Thalwil, Switzerland ; Switzerland
 Essen, Germania ; Essen, Germany ; Germany
 Wynnewood, Pennsylvania ; Wynnewood, PA, USA ; USA
 Santa Fe, New Mexico ; Santa Fe, NM, USA ; USA
 Riverside, California ; Riverside, CA, USA ; USA
 Cordoba, Spagna ; C√≥rdoba, Spain ; Spain
 Burnham-on-Crouch, Regno Unito ; Burnham-on-Crouch, UK ; UK
 Odessa, Ucraina ; Odessa, Odessa Oblast, Ukraine ; Ukraine
 Amfreville-la-Mi-Voie, Francia ; Amfreville-la-Mi-Voie, France ; France
 Reggio Emilia, Italia ; Reggio Emilia, Province of Reggio Emilia, Italy ; Italy
 Ratingen, Germania ; Ratingen, Germany ; Germany
 Lipsia, Germania ; Leipzig, Germany ; Germany
 Austin, Texas ; Austin, TX, USA ; USA
 Markham, Canada ; Markham, ON, Canada ; Canada
 Saragossa, Spagna ; Zaragoza, Spain ; Spain
 Yeruham, Israele ; Yeruham, Israel ; Israel
 Bad Hersfeld, Germania ; 36251 Bad Hersfeld, Germany ; Germany
 Birds Landing, California ; Birds Landing, CA, USA ; USA
 Charlottesville, Virginia ; Charlottesville, VA, USA ; USA
 Montefiascone, Italia ; 01027 Montefiascone, VT, Italy ; Italy
 Pismo Beach, California ; Pismo Beach, CA, USA ; USA
 Carlisle, Massachusetts ; Carlisle, MA 01741, USA ; USA
 Eugene, Oregon ; Eugene, OR, USA ; USA
 Redwood City, California ; Redwood City, CA, USA ; USA
 Nyons, Francia ; 26110 Nyons, France ; France
 Miahuatlan, Messico ; Miahuatl√°n de Porfirio D√≠az, Oaxaca, Mexico ; Mexico
 Texas, Stati Uniti ; Texas, USA ; USA
 Valinhos, Brasile ; Valinhos - State of S√£o Paulo, Brazil ; Brazil
 Newtown, Australia ; Newtown NSW 2042, Australia ; Australia
 FlorianÛpolis, Brasile ; Florian√≥polis - State of Santa Catarina, Brazil ; Brazil
 San Carlos, California ; San Carlos, CA, USA ; USA
 Wilhelmsfeld, Germania ; 69259 Wilhelmsfeld, Germany ; Germany
 Friburgo, Germania ; Freiburg, Germany ; Germany
 Ayr, Regno Unito ; Ayr, UK ; UK
 Emeryville, California ; Emeryville, CA, USA ; USA
 Stoccarda, Germania ; Stuttgart, Germany ; Germany
 Saint-Brieuc, Francia ; 22000 Saint-Brieuc, France ; France
 Sebastopol, California ; Sebastopol, CA 95472, USA ; USA
 Tampere, Finlandia ; Tampere, Finland ; Finland
 Panama, Panama ; Panama City, Panama ; Panama
 L'Herbergement, Francia ; 85260 L'Herbergement, France ; France
 Villaco, Austria ; Villach, Austria ; Austria
 Torquay, Australia ; Torquay VIC 3228, Australia ; Australia
 Ahmedabad, India ; Ahmedabad, Gujarat, India ; India
 Asturias, Spagna ; Asturias, Spain ; Spain
